# eventIndex trackIndex extX(cm) extY(cm) extZ(cm) extPx(MeV/c) extPy(MeV/c) extPz(MeV/c) reduced-chi2
406 0 -49.870641 13.312413 18.337476 -91.400690 -43.346766 -24.950856 1.053871
407 0 -51.031570 2.388762 -53.431931 -51.743865 -88.874444 -22.449048 1.296920
409 0 7.118513 50.698170 -14.599255 -81.967153 62.182348 18.674813 0.918071
415 0 12.381029 49.903943 17.393240 -49.530614 77.513210 49.303383 0.890358
419 0 48.400112 17.285799 -25.180090 35.270426 96.842013 19.944672 0.914644
422 0 -32.764896 39.504028 11.439619 -96.592121 -6.771122 -39.890375 1.000328
426 0 -36.406429 -36.527256 -18.129009 -5.982394 -103.076436 -8.377773 0.991290
427 0 -40.478669 -32.185728 -9.526287 -17.087413 -102.385439 9.348754 1.141864
429 0 51.433563 -7.264835 -32.731609 87.139532 54.453097 4.813559 0.960249
430 0 41.192909 30.013920 -31.373116 -13.669807 95.256299 -38.209632 0.757870
433 0 -43.693740 27.391176 -31.657457 -101.314962 -16.892174 -3.203419 1.160256
436 0 -22.973215 -45.731267 -28.640487 45.257300 -67.242995 -62.931754 1.245911
439 0 51.581200 0.482278 -0.315574 82.874015 63.162617 -11.530171 1.042799
440 0 32.888883 40.030384 7.046334 12.871921 102.593608 -8.291333 0.902107
441 0 -51.290406 2.961654 21.431560 -73.105268 -68.704620 -26.552757 1.281687
444 0 -27.508469 43.777920 -42.175808 -100.088924 23.810275 -20.011541 1.059381
446 0 24.817247 -44.931602 -25.402520 102.551050 -7.723061 10.843581 0.962182
447 0 45.742394 22.937650 -41.454288 -1.624786 97.146176 -39.208718 0.874023
448 0 50.641586 8.717396 -12.546209 32.497086 96.286975 24.226174 0.856115
454 0 -20.966872 -47.243963 23.306496 16.889011 -102.719642 -4.949390 0.946111
458 0 -44.463880 25.693931 4.395666 -98.972432 -32.832947 -9.672591 0.736247
461 0 -23.999576 45.306326 16.169866 -83.998270 7.064874 63.189544 0.916339
462 0 -50.362796 -10.664851 29.574315 -51.943246 -88.347927 -22.162504 0.872034
463 0 7.188847 -50.904841 -15.697024 84.146865 -55.431649 -25.318252 1.093967
472 0 -31.794933 40.222637 1.585769 -98.619998 -1.521216 33.530578 1.042992
473 0 -50.958346 4.919434 8.371179 -56.395032 -64.653531 59.231050 1.237389
475 0 -11.302750 -50.135343 18.616766 68.746388 -78.196295 13.892589 0.887951
480 0 -32.107339 -40.177521 -27.738542 33.855233 -98.177612 -11.969077 0.950488
481 0 -35.954808 37.178215 38.085495 -102.822542 14.230244 14.201738 0.941379
482 0 27.292992 -43.518944 -46.811234 101.499982 -6.229944 -24.455978 0.906719
483 0 20.960703 47.081928 -13.324004 -40.009890 87.676905 40.260013 0.914999
484 0 35.040599 -37.617060 41.552235 100.264840 11.630889 28.238397 0.968508
487 0 3.899370 -51.325112 -7.834943 78.873239 -63.409440 28.081451 0.951067
492 0 -50.812938 -7.867802 12.891338 -59.165608 -74.571609 43.355107 1.097165
499 0 1.630637 -51.102616 39.932156 94.042219 -43.605845 4.911676 0.819054
501 0 48.007408 -18.017073 -21.717151 76.043695 55.813499 -48.460454 0.926143
504 0 8.267817 -50.869778 33.367416 82.072839 -59.510853 24.622127 0.990494
506 0 12.018609 -49.989303 -13.341268 90.614483 -50.133422 -6.453566 0.857955
509 0 -45.145023 24.250984 -32.285326 -82.349233 -50.740235 -41.137408 0.960686
517 0 16.298134 -48.510343 -1.543919 77.830173 -34.237918 -59.832547 1.088150
520 0 -46.514278 22.187933 -27.798878 -99.627621 -26.833896 13.893452 0.880149
521 0 -49.847964 -12.131101 19.745842 -26.149027 -90.046458 7.857204 0.902275
525 0 -43.215008 28.779347 -13.199118 -103.950039 -12.895494 -5.775389 1.162862
527 0 -25.882002 -44.418997 0.141807 33.692852 -97.893544 10.773157 1.121887
529 0 21.167481 47.310919 -41.689080 -30.775791 99.121355 -12.214106 1.076434
532 0 -33.063045 39.177493 -36.292027 -102.630787 -16.023388 -10.774714 1.061917
534 0 47.438483 -18.724447 8.052231 84.783144 59.421998 -1.397660 0.882362
538 0 -44.659940 25.118018 -12.132331 -93.997434 -44.661745 -3.790024 0.896733
539 0 45.429585 24.540168 -14.421285 31.504266 99.191904 10.855810 0.918461
540 0 -6.369949 -50.803634 14.071196 75.346999 -63.869596 -35.933182 0.937857
542 0 -47.220943 -19.681521 11.191828 -7.780105 -102.753758 -5.221491 0.873983
543 0 -51.222198 -6.315646 25.672588 -65.792181 -80.970295 10.809187 1.035457
545 0 39.566502 32.331625 -20.609864 -11.876144 94.928153 -42.917203 0.898832
546 0 34.238534 -38.602299 -7.304946 98.611064 4.329061 33.343781 0.968278
554 0 51.379410 4.516177 -41.466301 72.610624 67.496240 -2.961294 1.056328
555 0 43.468159 26.944723 3.302476 -0.686201 98.766342 32.406092 0.928558
557 0 4.750388 51.266280 21.537159 -67.532182 70.917815 -37.389189 1.149261
559 0 31.108916 -41.601791 -19.268108 90.985179 -20.411281 -48.529319 1.228945
560 0 -28.756628 -42.982025 -13.079724 1.226261 -101.451144 -26.480446 0.759268
561 0 38.113435 -34.182901 11.491317 91.970094 40.322449 -30.296626 1.027317
562 0 18.784180 -47.894851 -17.286422 90.443268 -32.380335 -42.053483 1.053791
563 0 12.089010 -50.146721 -5.103498 81.399277 -58.258098 -29.712312 0.977612
564 0 -47.008031 21.486492 2.757440 -92.397153 -47.341242 -11.369789 0.848286
565 0 -45.699642 23.569899 4.897550 -71.877301 -43.527238 7.749654 0.946045
568 0 19.446504 47.440789 17.920325 -61.529305 82.645811 19.416021 0.835348
574 0 -10.728140 50.112225 37.370152 -98.003387 18.077001 3.901599 1.094650
575 0 -19.184827 -47.587206 -12.181062 39.883655 -95.010832 12.672425 1.034659
576 0 9.648347 -50.468408 -27.897479 82.313932 -40.914260 -51.037636 0.721712
581 0 38.424137 34.317294 16.199768 -3.262191 92.358254 1.109438 0.607801
591 0 -11.804095 49.741050 -23.971975 -98.810084 29.294603 -5.478673 0.993079
592 0 50.332748 -10.859953 -22.992668 77.673614 66.443712 22.728989 0.949927
594 0 -46.477782 21.769601 -18.473663 -87.917373 -57.358656 -6.614304 0.966334
595 0 -1.862291 -51.575369 43.506895 69.829561 -76.475434 13.633962 0.993174
596 0 49.792949 -13.244366 -16.299059 89.906231 40.153734 -37.656870 1.153481
597 0 50.633043 7.526242 7.059213 48.559122 84.006287 -37.742823 1.128122
599 0 39.170556 -33.511776 -30.440491 100.478224 25.705006 -17.327214 0.868801
603 0 -38.293720 34.589756 -13.736671 -102.023646 9.498293 20.368647 1.032815
605 0 38.626572 -33.959530 3.764592 99.097982 26.258819 6.034158 0.865147
606 0 46.539659 -21.373557 -12.209764 85.223541 54.662175 25.470546 1.142221
610 0 -50.919866 3.673302 -5.776471 -61.080966 -78.327201 32.923438 0.818493
613 0 -29.243215 -42.424954 -12.798745 15.995553 -100.927904 -24.098517 1.155892
614 0 -34.168571 -38.372446 20.779264 6.608724 -102.967180 -17.473809 0.993944
615 0 50.448298 -7.595825 32.614125 54.057661 75.217865 39.415378 0.963678
617 0 -36.293873 -36.742777 19.779331 -2.394616 -103.247173 -11.245523 1.035891
619 0 -22.350726 46.128555 -3.541885 -102.368154 24.403866 -5.381976 1.032110
622 0 22.961239 46.001418 -9.243822 -33.221196 99.527650 -6.595148 0.804244
623 0 -7.982398 51.052681 26.973995 -87.031849 53.905595 22.884848 0.813431
625 0 -6.417540 51.083381 -5.242196 -71.834363 64.154916 36.392070 1.095212
626 0 -27.328913 43.916824 39.448222 -101.209953 17.847305 19.591916 1.224718
630 0 29.287126 -42.409775 2.476915 98.259546 -8.198030 -19.069238 0.894060
638 0 27.326998 -43.745221 -22.404454 99.257134 -13.741959 30.251510 0.965081
641 0 51.219776 2.360175 -33.996215 46.731986 84.591508 -39.593305 0.805969
642 0 0.586403 -51.509936 -7.972940 67.851953 -78.000493 -3.895705 0.951166
643 0 10.703404 50.418817 -21.997324 -59.703641 84.105775 14.894408 1.055860
647 0 46.797611 -21.235414 39.015400 84.361345 54.723706 27.351841 0.886683
652 0 -30.485436 -41.633796 -9.728418 28.422102 -99.985614 -14.299483 0.911091
660 0 36.576221 36.210639 -33.801304 2.823045 102.439582 1.810630 0.969050
663 0 51.046730 6.629377 34.870716 56.448802 86.287193 -12.253887 0.957609
